ID,ObjectType,Rate,Metatitle,CitesNum,CitedByNum,AppearsInNum,URL
SCP-519,Safe,+77,Cheeky Phone Booth,2,3,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-519
SCP-524,Safe,+556,Walter the Omnivorous Rabbit,0,5,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-524
SCP-527,Euclid,+571,Mr. Fish,20,18,6,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-527
SCP-529,Safe,+946,Josie the Half-Cat,0,12,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-529
SCP-530,Safe,+182,Carl the Variable Dog,1,2,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-530
SCP-536,Safe,+403,Physical Law Testing Chamber,0,5,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-536
SCP-539,Euclid,+177,The Perfect Distraction,0,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-539
SCP-542,Euclid,+171,Herr Chirurg,5,2,8,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-542
SCP-545,Euclid,+213,Liquid Life/Totenkinder,1,2,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-545
SCP-571,Keter,+183,Self-Propagating Infectious Pattern,1,2,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-571
SCP-573,Euclid,+254,The Pied Pipe,1,3,3,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-573
SCP-579,Keter,+216,[DATA EXPUNGED],1,5,7,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-579
SCP-583,Euclid,+340,Deathly Video Tape,0,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-583
SCP-586,Safe,+887,Inscribable Object,0,2,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-586
SCP-590,Safe,+337,He Feels Your Pain,2,5,7,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-590
SCP-591,Euclid,+211,Dr. Wondertainment Pretendo,1,2,3,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-591
SCP-604,Safe,+412,The Cannibal's Banquet; A Corrupted Ritual,0,3,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-604
SCP-607,Euclid,+264,Dorian the Grey Cat,0,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-607
SCP-610,Keter,+1393,The Flesh that Hates,2,9,11,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-610
SCP-629,Safe,+358,Mr. Brass,19,16,9,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-629
SCP-643,Safe,+224,Delicious Chocolates,2,3,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-643
SCP-644,Euclid,+274,Mr. Hot,19,14,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-644
SCP-646,Euclid,+221,Birth Worm,2,4,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-646
SCP-649,Safe,+194,Matchbox Full of Winter,2,3,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-649
SCP-650,Euclid,+544,Startling Statue,0,2,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-650
SCP-655,Euclid,+138,Biological Disinformation Campaign,0,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-655
SCP-657,Safe,+170,Death-predicting Man,1,2,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-657
SCP-662,Safe,+860,Butler's Hand Bell,0,7,8,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-662
SCP-682,Keter,+2813,Hard-to-Destroy Reptile,112,65,84,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-682
SCP-689,Keter,+331,Haunter in the Dark,1,4,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-689
