Source,Target
SCP-947,SCP-1750
SCP-947,SCP-2210
SCP-947,SCP-2664
SCP-947,SCP-3640
SCP-947,SCP-2790
SCP-947,SCP-2060
SCP-947,SCP-2680
SCP-947,SCP-2570
SCP-947,SCP-3360
SCP-947,SCP-3850
SCP-947,SCP-2143
SCP-947,SCP-2820
SCP-947,SCP-2650
SCP-947,SCP-150
SCP-947,SCP-3220
SCP-947,SCP-4220
SCP-947,SCP-4710
SCP-947,SCP-3470
SCP-947,SCP-3780
SCP-947,SCP-946
SCP-947,SCP-2730
SCP-947,SCP-2810
SCP-947,SCP-5430
SCP-947,SCP-2910
SCP-947,SCP-2350
SCP-947,SCP-3000
SCP-947,SCP-948
SCP-947,SCP-5940
SCP-947,SCP-2490
SCP-948,SCP-3500
SCP-948,SCP-2338
SCP-948,SCP-3559
SCP-948,SCP-947
SCP-948,SCP-2559
SCP-948,SCP-3224
SCP-948,SCP-5663
SCP-948,SCP-2779
SCP-948,SCP-3772
SCP-948,SCP-3880
SCP-948,SCP-3373
SCP-948,SCP-3504
SCP-953,SCP-2750
SCP-953,SCP-2408
SCP-963,SCP-590
SCP-972,SCP-2625
SCP-972,SCP-2006
SCP-972,SCP-2012
SCP-972,SCP-5975
SCP-972,SCP-2301
SCP-972,SCP-2775
SCP-972,SCP-2599
SCP-972,SCP-2896
SCP-972,SCP-2201
SCP-972,SCP-2950
SCP-972,SCP-2050
SCP-972,SCP-3200
SCP-972,SCP-2800
SCP-972,SCP-2499
SCP-972,SCP-5725
SCP-972,SCP-2925
SCP-972,SCP-2101
SCP-972,SCP-2440
SCP-972,SCP-4007
SCP-972,SCP-1644
SCP-972,SCP-1758
SCP-972,SCP-1842
SCP-972,SCP-2750
SCP-972,SCP-2588
SCP-972,SCP-4761
SCP-999,SCP-682
SCP-1000,SCP-2932
SCP-1000,SCP-2273
SCP-1000,SCP-2000
SCP-1007,SCP-909
SCP-1012,SCP-1548
SCP-1024,SCP-2336
SCP-1032,SCP-2798
SCP-1032,SCP-2305
SCP-1143,SCP-5588
SCP-1143,SCP-4663
SCP-1143,SCP-4332
SCP-1143,SCP-3529
SCP-1143,SCP-2454
SCP-1160,SCP-4643
SCP-1160,SCP-4941
SCP-1160,SCP-2540
SCP-1160,SCP-3693
SCP-1160,SCP-2076
SCP-1160,SCP-2846
SCP-1160,SCP-4911
SCP-1160,SCP-2598
SCP-1160,SCP-715
SCP-1160,SCP-2670
SCP-1160,SCP-3930
SCP-1160,SCP-4935
SCP-1160,SCP-1994
SCP-1160,SCP-2996
SCP-1160,SCP-4498
SCP-1160,SCP-2111
SCP-1160,SCP-2316
SCP-1233,SCP-5902
SCP-1233,SCP-3983
SCP-1233,SCP-3893
SCP-1233,SCP-3588
SCP-1233,SCP-4233
SCP-1233,SCP-3899
SCP-1233,SCP-4553
SCP-1233,SCP-4866
SCP-1233,SCP-3894
SCP-1233,SCP-3889
SCP-1233,SCP-3884
SCP-1233,SCP-4933
SCP-1233,SCP-3897
SCP-1233,SCP-3396
SCP-1233,SCP-4449
SCP-1337,SCP-2539
SCP-1422,SCP-2602
SCP-1459,SCP-081
SCP-1459,SCP-2030
SCP-1459,SCP-058
SCP-1459,SCP-4514
SCP-1459,SCP-447
SCP-1459,SCP-610
SCP-1459,SCP-737
SCP-1459,SCP-1539
SCP-1459,SCP-1921
SCP-1459,SCP-173
SCP-1459,SCP-939
SCP-1459,SCP-682
SCP-1459,SCP-343
SCP-1498,SCP-2876
SCP-1498,SCP-2805
SCP-1498,SCP-2028
SCP-1513,SCP-039
SCP-1548,SCP-179
SCP-1548,SCP-3417
SCP-1548,SCP-2821
SCP-1564,SCP-140
SCP-1564,SCP-1139
SCP-1564,SCP-882
SCP-1644,SCP-2625
SCP-1644,SCP-2006
SCP-1644,SCP-2012
SCP-1644,SCP-5975
SCP-1644,SCP-2301
SCP-1644,SCP-2775
SCP-1644,SCP-2599
SCP-1644,SCP-2896
SCP-1644,SCP-2201
SCP-1644,SCP-2950
SCP-1644,SCP-2050
SCP-1644,SCP-3200
